HRP,model,TMB,H2O2,predicted_value,uncertainty_std,default_observation_std
1,fixed_sem_shrunk,1,0.01159412,12228.84954,193.9485489,374.0576735
1,fixed_sem_shrunk,0.942610285,0.011712354,12018.34776,251.2883045,406.7541216
1,fixed_sem_shrunk,0.89016049,0.011777327,11751.9904,362.402161,483.3615932
1,fixed_sem_shrunk,1,0.011795374,12256.53644,191.837588,372.9675102
1,fixed_sem_shrunk,0.847807755,0.011913132,11481.6851,464.0089035,563.5666473
1,fixed_sem_shrunk,1,0.0119835,12257.66302,191.9215042,373.0106798
1,fixed_sem_shrunk,0.934876383,0.012115379,11964.71442,269.365989,418.1640103
1,fixed_sem_shrunk,0.869429222,0.012239859,11561.04891,419.987807,527.9136876
1,fixed_sem_shrunk,1,0.012362099,12178.08808,214.8175381,385.2916793
1,fixed_sem_shrunk,0.791532502,0.012386502,10943.68346,608.7047987,687.6224512
1,fixed_sem_shrunk,1,0.012559542,12094.22715,241.116228,400.5497958
1,fixed_sem_shrunk,1,0.012885921,11907.94976,292.0734099,433.1396775
1,fixed_sem_shrunk,1,0.013404848,11534.39806,368.0192508,487.5871947
1,fixed_sem_shrunk,0.439875617,0.268611013,9635.698859,842.7471468,901.4021616
1,fixed_sem_shrunk,0.519863307,0.275004879,10367.80734,667.7942451,740.4405832
1,fixed_sem_shrunk,0.537450586,0.295993995,10762.99861,580.2290361,662.5472344
1,fixed_sem_shrunk,0.572613831,0.311957764,11059.145,474.4898144,572.2269545
1,fixed_sem_shrunk,0.551913423,0.327169867,11034.66024,452.2313806,553.9100334
1,fixed_sem_shrunk,1,0.62488866,11933.33288,174.391709,364.3014845
1,fixed_sem_shrunk,0.87531925,0.659882089,11560.23104,279.1118774,424.5074128
1,fixed_sem_shrunk,1,0.660212925,11967.16492,150.8678271,353.6441781
1,fixed_sem_shrunk,0.877311604,0.690078504,11544.60721,282.3655783,426.6537511
1,fixed_sem_shrunk,0.807580723,0.706127962,11257.85667,368.7835664,488.1643394
1,fixed_sem_shrunk,0.877455301,0.731429617,11448.63293,295.9986515,435.7961739
1,fixed_sem_shrunk,1,0.740569506,11731.83771,197.8227296,376.0810229
