sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
HRP,"[15,12]",0.00241052,0.0015,0.064204424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002171579,1,,1.220570194
HRP,"[13,8]",0.004724619,0.0015,0.246647716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32530325,1,,1.219227948
pairwise 1,"[13,21]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,6.25,12.03611481,2,1.56247356,1.217070221
single additive,"[12,12]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.110241113,0,0,0,0,0,0,0,0,0,13.01608533,1,,1.216790048
HRP,"[11,12]",0.009260253,0.0015,0.064204424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021495754,1,,1.216406846
single additive,"[9,1]",0.375,0.0015,1.857142857,0,0.302501614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33507111,1,,1.21611843
HRP,"[2,2]",0.191326531,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.553287992,1,,1.216093172
single additive,"[5,7]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,5.810451003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.46918083,1,,1.215720016
single additive,"[4,3]",0.375,0.0015,1.857142857,0,0,0,1.626926281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6240662,1,,1.215443453
single additive,"[6,21]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830064429,13.95125847,1,,1.214828263
single additive,"[15,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0.040175333,0,0,0,0,0,0,0,0,0,0,0,0,6.465579525,1,,1.214588399
single additive,"[10,5]",0.375,0.0015,1.857142857,0,0,0,0,0,0.540181454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71658828,1,,1.214413399
